t,risk_level,composite_score,kl_mean,w1_mean,mmd_stat,shift_detected
0.242,0,0.0004,0.0000,0.0000,0.0000,False
0.350,0,0.0006,0.0000,0.0000,0.0000,False
0.439,0,0.0003,0.0000,0.0000,0.0000,False
0.538,0,0.0001,0.0000,0.0000,0.0000,False
0.640,0,0.0002,0.0000,0.0000,0.0000,False
0.743,0,0.0157,0.0000,0.0000,0.0000,False
0.880,0,0.0254,0.0000,0.0000,0.0044,False
0.972,0,0.0489,0.0000,0.0000,0.0068,False
1.088,0,0.0739,0.0000,0.0000,0.0135,False
1.165,0,0.0726,0.0000,0.0000,0.0203,False
1.263,0,0.0723,0.0000,0.0000,0.0201,False
1.377,0,0.0752,0.0000,0.0000,0.0200,False
1.482,0,0.0756,0.0000,0.0000,0.0206,False
1.575,0,0.0765,0.0000,0.0000,0.0207,False
1.683,0,0.0770,0.0000,0.0000,0.0208,False
1.826,0,0.0790,0.0000,0.0000,0.0209,False
1.866,0,0.0783,0.0000,0.0000,0.0211,False
1.982,0,0.0793,0.0000,0.0000,0.0212,False
2.073,0,0.0795,0.0000,0.0000,0.0214,False
2.165,0,0.0794,0.0000,0.0000,0.0215,False
2.282,0,0.0807,0.0000,0.0000,0.0216,False
2.403,0,0.0824,0.0000,0.0000,0.0218,False
2.467,0,0.0809,0.0000,0.0000,0.0219,False
2.568,0,0.0816,0.0000,0.0000,0.0220,False
2.673,0,0.0819,0.0000,0.0000,0.0222,False
2.785,0,0.0827,0.0000,0.0000,0.0222,False
2.872,0,0.0829,0.0000,0.0000,0.0223,False
2.977,0,0.0831,0.0000,0.0000,0.0224,False
3.068,0,0.0833,0.0000,0.0000,0.0225,False
3.193,0,0.0839,0.0000,0.0000,0.0226,False
3.283,0,0.0840,0.0000,0.0000,0.0227,False
3.370,2,0.5322,0.0000,0.0000,0.0227,False
3.473,2,0.5298,0.0000,0.0000,0.0222,False
3.573,2,0.5272,0.0000,0.0000,0.0215,False
3.722,2,0.5270,0.0000,0.0000,0.0208,False
3.781,1,0.3352,0.0000,0.0000,0.0206,False
3.916,1,0.3099,0.0000,0.0000,0.0198,False
3.968,1,0.3077,0.0000,0.0000,0.0195,False
4.077,1,0.3073,0.0000,0.0000,0.0193,False
4.223,1,0.3097,0.0000,0.0000,0.0192,False
4.268,1,0.2749,0.0000,0.0000,0.0199,False
4.371,1,0.2662,0.0000,0.0000,0.0100,False
4.493,1,0.2626,0.0000,0.0000,0.0075,False
4.574,1,0.2604,0.0000,0.0000,0.0064,False
4.717,1,0.2603,0.0000,0.0000,0.0058,False
4.776,0,0.2469,0.0000,0.0000,0.0058,False
4.900,0,0.2443,0.0000,0.0000,0.0020,False
4.987,0,0.2404,0.0000,0.0000,0.0012,False
5.089,0,0.2404,0.0000,0.0000,0.0001,False
5.223,0,0.2404,0.0000,0.0000,0.0001,False
5.284,0,0.2404,0.0000,0.0000,0.0001,False
5.372,0,0.2404,0.0000,0.0000,0.0001,False
5.485,0,0.2404,0.0000,0.0000,0.0001,False
5.588,0,0.2404,0.0000,0.0000,0.0001,False
5.689,0,0.2404,0.0000,0.0000,0.0001,False
5.778,0,0.2404,0.0000,0.0000,0.0001,False
5.911,0,0.2406,0.0000,0.0000,0.0001,False
5.978,0,0.2404,0.0000,0.0000,0.0002,False
6.088,0,0.2405,0.0000,0.0000,0.0001,False
6.199,0,0.2404,0.0000,0.0000,0.0001,False
6.290,0,0.2404,0.0000,0.0000,0.0001,False
6.385,0,0.2404,0.0000,0.0000,0.0001,False
6.469,0,0.2404,0.0000,0.0000,0.0001,False
6.582,0,0.2404,0.0000,0.0000,0.0001,False
6.668,0,0.2404,0.0000,0.0000,0.0001,False
6.774,0,0.2404,0.0000,0.0000,0.0001,False
6.873,0,0.2402,0.0000,0.0000,0.0001,False
6.985,0,0.2404,0.0000,0.0000,0.0001,False
7.084,0,0.2409,0.0000,0.0000,0.0001,False
7.182,0,0.2404,0.0000,0.0000,0.0003,False
7.312,1,0.4923,0.0000,0.0000,0.0001,False
7.390,1,0.3077,0.0000,0.0000,0.0007,False
7.482,1,0.3449,0.0000,0.0000,0.0023,False
7.572,1,0.2743,0.0000,0.0000,0.0055,False
7.726,1,0.2722,0.0000,0.0000,0.0079,False
7.782,1,0.2885,0.0000,0.0000,0.0090,False
7.872,1,0.3236,0.0000,0.0000,0.0139,False
7.997,1,0.3402,0.0000,0.0000,0.0239,False
8.073,1,0.3544,0.0000,0.0000,0.0286,False
8.191,1,0.4027,0.0000,0.0000,0.0327,False
8.279,2,0.5900,0.0000,0.0000,0.0465,False
8.385,2,0.5900,0.0000,0.0000,0.1135,False
8.501,2,0.5900,0.0000,0.0000,0.1478,False
8.597,2,0.5900,0.0000,0.0000,0.1470,False
8.679,2,0.5900,0.0000,0.0000,0.1435,False
8.784,2,0.5900,0.0000,0.0000,0.1422,False
8.883,2,0.5900,0.0000,0.0000,0.1408,False
8.990,2,0.5900,0.0000,0.0000,0.1394,False
9.128,2,0.5900,0.0000,0.0000,0.1380,False
9.184,2,0.5900,0.0000,0.0000,0.1284,False
9.290,2,0.5900,0.0000,0.0000,0.1182,False
9.387,2,0.5900,0.0000,0.0000,0.1109,False
